name,nameWithOwner,createdAt,stargazers.totalCount,url,totalReleases,mediaReleaseDays
glide,bumptech/glide,2013-07-08T22:52:33Z,29989,https://github.com/bumptech/glide,35,0.01322051106472806
lottie-android,airbnb/lottie-android,2016-10-06T22:42:42Z,29797,https://github.com/airbnb/lottie-android,27,0.018475329862786365
AndroidUtilCode,Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,27988,https://github.com/Blankj/AndroidUtilCode,115,0.0751834610278819
zxing,zxing/zxing,2011-10-12T14:07:27Z,26320,https://github.com/zxing/zxing,27,0.008224771200773142
proxyee-down,proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,25554,https://github.com/proxyee-down-org/proxyee-down,49,0.045459138155948264
butterknife,JakeWharton/butterknife,2013-03-05T08:18:59Z,25468,https://github.com/JakeWharton/butterknife,0,0
JCSprout,crossoverJie/JCSprout,2017-12-17T09:06:50Z,25289,https://github.com/crossoverJie/JCSprout,0,0
GitHub-Chinese-Top-Charts,kon9chunkit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,25261,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,0,0
netty,netty/netty,2010-11-09T09:22:21Z,24871,https://github.com/netty/netty,0,0
spring-boot-examples,ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,23749,https://github.com/ityouknow/spring-boot-examples,0,0
jadx,skylot/jadx,2013-03-18T17:08:21Z,23529,https://github.com/skylot/jadx,13,0.004710758579758135
arthas,alibaba/arthas,2018-08-29T17:15:57Z,23188,https://github.com/alibaba/arthas,27,0.035081556080065836
tutorials,eugenp/tutorials,2013-04-29T18:26:36Z,23141,https://github.com/eugenp/tutorials,0,0
EventBus,greenrobot/EventBus,2012-07-16T16:55:40Z,22875,https://github.com/greenrobot/EventBus,5,0.0016640877337199091
fastjson,alibaba/fastjson,2011-11-03T06:58:52Z,22452,https://github.com/alibaba/fastjson,79,0.024225533823483473
apollo,ctripcorp/apollo,2016-03-04T10:24:23Z,22437,https://github.com/ctripcorp/apollo,27,0.016091341626424095
ghidra,NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,22410,https://github.com/NationalSecurityAgency/ghidra,0,0
druid,alibaba/druid,2011-11-03T05:12:51Z,22320,https://github.com/alibaba/druid,37,0.0113458799434757
SmartRefreshLayout,scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,21541,https://github.com/scwang90/SmartRefreshLayout,8,0.006541597281281347
BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,20820,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,191,0.11638995938866833
Hystrix,Netflix/Hystrix,2012-11-19T20:14:46Z,20384,https://github.com/Netflix/Hystrix,79,0.02744514204942766
hello-algorithm,geekxh/hello-algorithm,2020-05-29T05:47:09Z,19171,https://github.com/geekxh/hello-algorithm,0,0
RxAndroid,ReactiveX/RxAndroid,2014-08-19T03:46:38Z,19153,https://github.com/ReactiveX/RxAndroid,18,0.008031421730161909
selenium,SeleniumHQ/selenium,2013-01-14T21:40:56Z,18776,https://github.com/SeleniumHQ/selenium,27,0.009566294314465557
vhr,lenve/vhr,2018-01-04T08:57:51Z,18747,https://github.com/lenve/vhr,0,0
gson,google/gson,2015-03-19T18:21:20Z,18609,https://github.com/google/gson,0,0
spring-boot-demo,xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,18091,https://github.com/xkcoding/spring-boot-demo,0,0
picasso,square/picasso,2013-05-14T15:07:47Z,17670,https://github.com/square/picasso,7,0.002589979406557541
libgdx,libgdx/libgdx,2012-08-10T19:34:38Z,17486,https://github.com/libgdx/libgdx,4,0.0013424896137261442
seata,seata/seata,2018-12-28T08:37:22Z,17423,https://github.com/seata/seata,28,0.043146378893033174
toBeTopJavaer,hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,17254,https://github.com/hollischuang/toBeTopJavaer,0,0
PhotoView,chrisbanes/PhotoView,2012-07-17T16:39:00Z,17189,https://github.com/chrisbanes/PhotoView,5,0.0016646353412715649
easyexcel,alibaba/easyexcel,2018-02-06T03:14:08Z,17127,https://github.com/alibaba/easyexcel,1,0.0010265063272529395
kafka,apache/kafka,2011-08-15T18:06:16Z,17015,https://github.com/apache/kafka,0,0
